Minden-LOUISIANA	32.6000 -93.3000
Monroe-AP-LOUISIANA	32.5167 -92.0333
Natchitoches-LOUISIANA	31.7667 -93.0833
New-Orleans-AP-LOUISIANA	29.9833 -90.2500
Shreveport-AP-(S)-LOUISIANA	32.4667 -93.8167
Augusta-AP-MAINE	44.3167 -69.8000
Bangor,-Dow-AFB-MAINE	44.8000 -68.8333
Caribou-AP-(S)-MAINE	46.8667 -68.0167
Lewiston-MAINE	44.0333 -70.2500
Millinocket-AP-MAINE	45.6500 -68.7000
Portland-(S)-MAINE	43.6500 -70.3167
Waterville-MAINE	44.5333 -69.6667
Baltimore-AP-MARYLAND	39.1833 -76.6667
Baltimore-Co-MARYLAND	39.3333 -76.4167
Cumberland-MARYLAND	39.6167 -78.7667
Frederick-AP-MARYLAND	39.4500 -77.4167
Hagerstown-MARYLAND	39.7000 -77.7333
Salisbury-(S)-MARYLAND	38.3333 -75.5000
Boston-AP-MASSACHUSETTS	42.3667 -71.0333
Clinton-MASSACHUSETTS	42.4000 -71.6833
Fall-River-MASSACHUSETTS	41.7167 -71.1333
Framingham-MASSACHUSETTS	42.2833 -71.4167
Gloucester-MASSACHUSETTS	42.5833 -70.6833
Greenfield-MASSACHUSETTS	42.0500 -72.0667
Lawrence-MASSACHUSETTS	42.7000 -71.0167
Lowell-MASSACHUSETTS	42.6500 -71.3167
New-Bedford-MASSACHUSETTS	41.6833 -70.9667
Pittsfield-AP-MASSACHUSETTS	42.4333 -73.3000
Springfield,-Westover-AFB-MASSACHUSETTS	42.2000 -72.5333
Taunton-MASSACHUSETTS	41.9000 -71.0667
Worcester-AP-MASSACHUSETTS	42.2667 -71.8667
Adrian-MICHIGAN	41.9167 -84.0167
Alpena-AP-MICHIGAN	45.0667 -83.4333
Battle-Creek-AP-MICHIGAN	42.3167 -85.2500
Benton-Harbor-AP-MICHIGAN	42.1333 -86.4333
Detroit-MICHIGAN	42.4167 -83.0167
Escanaba-MICHIGAN	45.7333 -87.0833
Flint-AP-MICHIGAN	42.9667 -83.7333
Grand-Rapids-AP-MICHIGAN	42.8833 -85.5167
Holland-MICHIGAN	42.7000 -86.1000
Jackson-AP-MICHIGAN	42.2667 -84.4667
Kalamazoo-MICHIGAN	42.2833 -85.6000
Lansing-AP-MICHIGAN	42.7833 -84.6000
Marquette-Co-MICHIGAN	46.5667 -87.4000
Mt-Pleasant-MICHIGAN	43.5833 -84.7667
Muskegon-AP-MICHIGAN	43.0167 -86.2333
Pontiac-MICHIGAN	42.6667 -83.4167
Port-Huron-MICHIGAN	42.9833 -82.4167
Saginaw-AP-MICHIGAN	43.5333 -84.0833
Sault-Ste.-Marie-AP-(S)-MICHIGAN	46.4667 -84.3667
Traverse-City-AP-MICHIGAN	44.7500 -85.5833
Ypsilanti-MICHIGAN	42.2333 -83.5333
Albert-Lea-MINNESOTA	43.6500 -93.3500
Alexandria-AP-MINNESOTA	45.8667 -95.3833
Bemidji-AP-MINNESOTA	47.5167 -94.9333
Brainerd-MINNESOTA	46.4000 -94.1333
Duluth-AP-MINNESOTA	46.8333 -92.1833
Fairbault-MINNESOTA	44.3000 -93.2667
Fergus-Falls-MINNESOTA	46.2667 -96.0667
International-Falls-AP-MINNESOTA	48.5667 -93.3833
Mankato-MINNESOTA	44.1500 -93.9833
Minneapolis/St.-Paul-AP-MINNESOTA	44.8833 -93.2167
Rochester-AP-MINNESOTA	43.9167 -92.5000
St.-Cloud-AP-(S)-MINNESOTA	45.5833 -94.1833
Virginia-MINNESOTA	47.5000 -92.5500
Willmar-MINNESOTA	45.1167 -95.0833
Winona-MINNESOTA	44.0500 -91.6333
Biloxi--Keesler-AFB-MISSISSIPPI	30.4167 -88.9167
Clarksdale-MISSISSIPPI	34.2000 -90.5667
Columbus-AFB-MISSISSIPPI	33.6500 -88.4500
Greenville-AFB-MISSISSIPPI	33.4833 -90.9833
Greenwood-MISSISSIPPI	33.5000 -90.0833
Hattiesburg-MISSISSIPPI	31.2667 -89.2500
Jackson-AP-MISSISSIPPI	32.3167 -90.0833
Laurel-MISSISSIPPI	31.6667 -89.0167
Mccomb-AP-MISSISSIPPI	31.2500 -90.4667
Meridian-AP-MISSISSIPPI	32.3333 -88.7500
Natchez-MISSISSIPPI	31.5500 -91.3833
Tupelo-MISSISSIPPI	34.2667 -88.7667
Vicksburg-Co-MISSISSIPPI	32.4000 -90.7833
Cape-Girardeau-MISSOURI	37.2333 -89.5833
Columbia-AP-(S)-MISSOURI	38.9667 -92.3667
Farmington-AP-MISSOURI	37.7667 -90.4000
Hannibal-MISSOURI	39.7000 -91.3500
Jefferson-City-MISSOURI	38.5667 -92.1833
Joplin-AP-MISSOURI	37.1500 -94.5000
Kansas-City-AP-MISSOURI	39.1167 -94.5833
Kirksville-AP-MISSOURI	40.1000 -92.5500
Mexico-MISSOURI	39.1833 -91.9000
Moberly-MISSOURI	39.4000 -92.4333
Poplar-Bluff-MISSOURI	36.7667 -90.4167
Rolla-MISSOURI	37.9833 -91.7167
St.-Joseph-AP-MISSOURI	39.7667 -94.9167
St.-Louis-AP-MISSOURI	38.7500 -90.3833
St.-Louis-CO-MISSOURI	38.6500 -90.6333
Sikeston-MISSOURI	36.8833 -89.6000
Sedalia--Whiteman-AFB-MISSOURI	38.7167 -93.5500
Sikeston-MISSOURI	36.8833 -89.6000
Springfield-AP-MISSOURI	37.2333 -93.3833
Billings-AP-MONTANA	45.8000 -108.5333
Bozeman-MONTANA	45.7833 -111.1500
Butte-AP-MONTANA	45.9500 -112.5000
Cut-Bank-AP-MONTANA	48.6167 -112.3667
Glasgow-AP-(S)-MONTANA	48.4167 -106.5333
Glendive-MONTANA	47.1333 -104.8000
Great-Falls-AP-(S)-MONTANA	47.4833 -111.3667
Havre-MONTANA	48.5667 -109.6667
Helena-AP-MONTANA	46.6000 -112.0000
Kalispell-AP-MONTANA	48.3000 -114.2667
Lewiston-AP-MONTANA	47.0667 -109.4500
Livingstown-AP-MONTANA	45.7000 -110.4333
Miles-City-AP-MONTANA	46.4333 -105.8667
Missoula-AP-MONTANA	46.9167 -114.0833
Beatrice-NEBRASKA	40.2667 -96.7500
Chadron-AP-NEBRASKA	42.8333 -103.0833
Columbus-NEBRASKA	41.4667 -97.3333
Fremont-NEBRASKA	41.4333 -96.4833
Grand-Island-AP-NEBRASKA	40.9833 -98.3167
Hastings-NEBRASKA	40.6000 -98.4333
Kearney-NEBRASKA	40.7333 -99.0167
Lincoln-Co-(S)-NEBRASKA	40.8500 -96.7500
McCook-NEBRASKA	40.2000 -100.6333
Norfolk-NEBRASKA	41.9833 -97.4333
North-Platte-AP-(S)-NEBRASKA	41.1333 -100.6833
Omaha-AP-NEBRASKA	41.3000 -95.9000
Scottsbluff-AP-NEBRASKA	41.8667 -103.6000
Sidney-AP-NEBRASKA	41.2167 -103.1000
Carson-City-NEVADA	39.0167 -119.7667
Elko-AP-NEVADA	40.8333 -115.7833
Ely-AP-(S)-NEVADA	39.2833 -114.8500
Las-Vegas-AP-(S)-NEVADA	36.0833 -115.0167
Lovelock-AP-NEVADA	40.0667 -118.5500
Reno-AP-(S)-NEVADA	39.5000 -119.7833
Reno-Co-NEVADA	39.5000 -119.7833
Tonopah-AP-NEVADA	38.0667 -117.0833
Winnemucca-AP-NEVADA	40.9000 -117.8000
Berlin-NEW-HAMPSHIRE	44.0500 -71.0167
Claremont-NEW-HAMPSHIRE	43.0333 -72.0333
Concord-AP-NEW-HAMPSHIRE	43.2000 -71.5000
Keene-NEW-HAMPSHIRE	42.9167 -72.2833
Laconia-NEW-HAMPSHIRE	43.0500 -71.0500
Manchester,-Grenier-AFB-NEW-HAMPSHIRE	42.9333 -71.4333
Portsmouth,-Pease-AFB-NEW-HAMPSHIRE	43.0667 -70.8167
Atlantic-City-CO-NEW-JERSEY	39.3833 -74.4333
Long-Branch-NEW-JERSEY	40.3167 -74.0167
Newark-AP-NEW-JERSEY	40.7000 -74.0167
New-Brunswick-NEW-JERSEY	40.4833 -74.4333
Paterson-NEW-JERSEY	40.9000 -74.1500
Phillipsburg-NEW-JERSEY	40.6833 -75.1833
Trenton-Co-NEW-JERSEY	40.2167 -74.7667
Vineland-NEW-JERSEY	39.4833 -75.0000
Holloman-AFB-NEW-MEXICO	32.8500 -106.1000
Albuquerque-AP-(S)-NEW-MEXICO	35.0500 -106.6167
Artesia-NEW-MEXICO	32.7667 -104.3833
Carlsbad-AP-NEW-MEXICO	32.3333 -104.2667
Clovis-AP-NEW-MEXICO	34.3833 -103.3167
Farmington-AP-NEW-MEXICO	36.7333 -108.2333
Gallup-NEW-MEXICO	35.5167 -108.7833
Grants-NEW-MEXICO	35.0167 -107.9000
Hobbs-AP-NEW-MEXICO	32.7500 -103.2167
Las-Cruces-NEW-MEXICO	32.3000 -106.9167
Los-Alamos-NEW-MEXICO	35.8667 -106.3167
Raton-AP-NEW-MEXICO	36.7500 -104.5000
Roswell,-Walker-AFB-NEW-MEXICO	33.3000 -104.5333
Santa-Fe-CO-NEW-MEXICO	35.6167 -106.0833
Silver-City-AP-NEW-MEXICO	32.6333 -108.0167
Socorro-AP-NEW-MEXICO	34.0500 -106.8833
Tucumcari-AP-NEW-MEXICO	35.1833 -103.6000
Albany-AP-(S)-NEW-YORK	42.7500 -73.8000
Albany-Co-NEW-YORK	42.6500 -73.7500
Auburn-NEW-YORK	42.9000 -76.5333
Batavia-NEW-YORK	43.0000 -78.1833
Binghamton-AP-NEW-YORK	42.2167 -75.9833
Buffalo-AP-NEW-YORK	42.9333 -78.7333
Cortland-NEW-YORK	42.6000 -76.1833
Dunkirk-NEW-YORK	42.4833 -79.2667
Elmira-AP-NEW-YORK	42.0167 -76.9000
Geneva-(S)-NEW-YORK	42.7500 -76.9000
Glens-Falls-NEW-YORK	43.3333 -73.6167
Gloversville-NEW-YORK	43.0333 -74.3500
Hornell-NEW-YORK	42.3500 -77.7000
Ithaca-(S)-NEW-YORK	42.4500 -76.4833
Jamestown-NEW-YORK	42.1167 -79.2333
Kingston-NEW-YORK	41.9333 -74.0000
Lockport-NEW-YORK	43.1500 -79.2500
Massena-AP-NEW-YORK	44.9333 -74.8500
Newburgh,-Stewart-AFB-NEW-YORK	41.5000 -74.1000
NYC-Central-Park-(S)-NEW-YORK	40.7833 -73.9667
NYC-Kennedy-AP-NEW-YORK	40.6500 -73.7833
NYC-La-Guardia-AP-NEW-YORK	40.7667 -73.9000
Niagara-Falls-AP-NEW-YORK	43.1000 -79.9500
Olean-NEW-YORK	42.2333 -78.3667
Oneonta-NEW-YORK	42.5167 -75.0667
Oswego-Co-NEW-YORK	43.4667 -76.5500
Plattsburg-AFB-NEW-YORK	44.6500 -73.4667
Poughkeepsie-NEW-YORK	41.6333 -73.9167
Rochester-AP-NEW-YORK	43.1167 -77.6667
Rome,-Griffiss-AFB-NEW-YORK	43.2333 -75.4167
Schenectady-(S)-NEW-YORK	42.8500 -73.9500
Suffolk-County-AFB-NEW-YORK	40.8500 -72.6333
Syracuse-AP-NEW-YORK	43.1167 -76.1167
Utica-NEW-YORK	43.1500 -75.3833
Watertown-NEW-YORK	43.9833 -76.0167
Asheville-AP-NORTH-CAROLINA	35.4333 -82.5333
Charlotte-AP-NORTH-CAROLINA	35.2167 -80.9333
Durham-NORTH-CAROLINA	35.8667 -78.7833
Elizabeth-City-AP-NORTH-CAROLINA	36.2667 -76.1833
Fayetteville,-Pope-AFB-NORTH-CAROLINA	35.0167 -79.0167
Goldsboro,Seymour-Johnson-NORTH-CAROLINA	35.3333 -77.9667
Greensboro-AP-(S)-NORTH-CAROLINA	36.0833 -79.9500
Greenville-NORTH-CAROLINA	35.6167 -77.4167
Henderson-NORTH-CAROLINA	36.3667 -78.4167
Hickory-NORTH-CAROLINA	35.7500 -81.3833
Jacksonville-NORTH-CAROLINA	34.8333 -77.6167
Lumberton-NORTH-CAROLINA	34.6167 -79.0667
New-Bern-AP-NORTH-CAROLINA	35.0833 -77.0500
Raleigh/Durham-AP-(S)-NORTH-CAROLINA	35.8667 -78.7833
Rocky-Mount-NORTH-CAROLINA	35.9667 -77.8000
Wilmington-AP-NORTH-CAROLINA	34.2667 -77.9167
Winston-Salem-AP-NORTH-CAROLINA	36.1333 -80.2167
Bismarck-AP-(S)-NORTH-DAKOTA	46.7667 -100.7500
Devils-Lake-NORTH-DAKOTA	48.1167 -98.9000
Dickinson-AP-NORTH-DAKOTA	46.8000 -102.8000
Fargo-AP-NORTH-DAKOTA	46.9000 -96.8000
Grand-Forks-AP-NORTH-DAKOTA	47.9500 -97.4000
